,event,date_played,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,Opening,myrating,hour,time_of_day,type of game
909,Rated Rapid game,2021.02.02,Dellanoi,Jay_1999,Won,2079,-4,2175,15,Jay_1999,2175,Dellanoi,2079,Won agaist high rated player,A56,Resignation/Checkmate,rapid,2021.02.02,2/10/2023 12:02,Standard,Benoni Defense,2190,12,afternoon,afternoon
910,Rated Blitz game,2021.02.02,stefan_udo,Jay_1999,Lost,2070,5,2024,-5,stefan_udo,2070,Jay_1999,2024,Lost against Similar Rating,A03,Resignation/Checkmate,blitz,2021.02.02,2/10/2023 5:05,Standard,Bird's Opening,2024,5,night,night
911,Rated Blitz game,2021.02.01,Jay_1999,Mahjoubi2,Won,2020,4,1887,-3,Jay_1999,2020,Mahjoubi2,1887,Won against very high rated player,B28,Resignation/Checkmate,blitz,2021.02.01,2/10/2023 17:57,Standard,Sicillian Defense,2024,17,afternoon,afternoon
912,Rated Blitz game,2021.02.01,Jay_1999,AndreiHe,Won,2014,6,2038,-6,Jay_1999,2014,AndreiHe,2038,Won against Similar Rating,D11,Time forfeit,blitz,2021.02.01,2/10/2023 15:44,Standard,Mixed of opening I usually not played,2020,15,afternoon,afternoon
913,Rated Blitz game,2021.02.01,AVD100,Jay_1999,Won,1975,-5,2008,6,Jay_1999,2008,AVD100,1975,Won against Similar Rating,B23,Time forfeit,blitz,2021.02.01,2/10/2023 15:37,Standard,Sicillian Defense,2014,15,afternoon,afternoon
914,Rated Blitz game,2021.02.01,akocmonmon,Jay_1999,Lost,1896,8,2016,-8,akocmonmon,1896,Jay_1999,2016,Lost against very high rated player,B21,Resignation/Checkmate,blitz,2021.02.01,2/10/2023 15:26,Standard,Sicillian Defense,2016,15,afternoon,afternoon
915,Rated Rapid game,2021.02.01,Jay_1999,Vladimirtemir,Lost,2199,-24,2112,8,Vladimirtemir,2112,Jay_1999,2199,Lost agaist high rated player,C63,Resignation/Checkmate,rapid,2021.02.01,2/10/2023 5:36,Standard,Ruy Lopez (Spanish Opening),2199,5,night,night
916,Rated Blitz game,2021.01.31,Jay_1999,aboomarashraf,Lost,2024,-8,1889,8,aboomarashraf,1889,Jay_1999,2024,Lost against very high rated player,C00,Resignation/Checkmate,blitz,2021.01.31,2/10/2023 16:37,Standard,French Defense,2024,16,afternoon,afternoon
917,Rated Blitz game,2021.01.31,Rav48,Jay_1999,Lost,2101,4,2028,-4,Rav48,2101,Jay_1999,2028,Lost agaist high rated player,A45,Resignation/Checkmate,blitz,2021.01.31,2/10/2023 11:40,Standard,Queen's Pawn' Opening,2028,11,morning,morning
918,Rated Blitz game,2021.01.31,Jay_1999,manto19,Lost,2034,-6,2038,5,manto19,2038,Jay_1999,2034,Lost against Similar Rating,A40,Resignation/Checkmate,blitz,2021.01.31,2/10/2023 11:04,Standard,Queen's Pawn' Opening,2034,11,morning,morning
919,Rated Blitz game,2021.01.27,SteveL99,Jay_1999,Lost,2056,6,2040,-6,SteveL99,2056,Jay_1999,2040,Lost against Similar Rating,B12,Resignation/Checkmate,blitz,2021.01.27,2/10/2023 6:41,Standard,Caro-Kann Defense,2040,6,morning,morning
920,Rated Blitz game,2021.01.25,Jay_1999,waelallan54,Won,2034,6,2064,-6,Jay_1999,2034,waelallan54,2064,Won against Similar Rating,D10,Resignation/Checkmate,blitz,2021.01.25,2/10/2023 17:05,Standard,Mixed of opening I usually not played,2040,17,afternoon,afternoon
921,Rated Blitz game,2021.01.25,Jay_1999,Alroma,Won,2028,6,2038,-6,Jay_1999,2028,Alroma,2038,Won against Similar Rating,D02,Resignation/Checkmate,blitz,2021.01.25,2/10/2023 16:59,Standard,London System,2034,16,afternoon,afternoon
922,Rated Blitz game,2021.01.25,Giacosa,Jay_1999,Lost,2030,6,2033,-5,Giacosa,2030,Jay_1999,2033,Lost against Similar Rating,A00,Resignation/Checkmate,blitz,2021.01.25,2/10/2023 15:38,Standard,Benko Opening,2033,15,afternoon,afternoon
923,Rated Blitz game,2021.01.25,Jay_1999,carlojove,Lost,2039,-6,2064,5,carlojove,2064,Jay_1999,2039,Lost against Similar Rating,D06,Resignation/Checkmate,blitz,2021.01.25,2/10/2023 7:29,Standard,Mixed of opening I usually not played,2039,7,morning,morning
924,Rated Blitz game,2021.01.25,ecnirpz,Jay_1999,Won,1984,-10,2034,5,Jay_1999,2034,ecnirpz,1984,Won agaist high rated player,B12,Resignation/Checkmate,blitz,2021.01.25,2/10/2023 7:25,Standard,Caro-Kann Defense,2039,7,morning,morning
925,Rated Blitz game,2021.01.24,Jay_1999,seventhrankpawn,Lost,2040,-6,2016,6,seventhrankpawn,2016,Jay_1999,2040,Lost against Similar Rating,C64,Resignation/Checkmate,blitz,2021.01.24,2/10/2023 9:43,Standard,Ruy Lopez (Spanish Opening),2040,9,morning,morning
